listing_id,listed,available,unit,house,street,suburb,city,price,bedrooms,bathrooms,href,photo
1381513248,2017/07/28,2017/08/04,4,85,ELIZABETH ST,Mount Victoria,Wellington,800,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1381513248.htm,https://trademe.tmcdn.co.nz/photoserver/med/622410625.jpg
1380821336,2017/07/27,2017/08/11,,111D,GLENMORE STREET,Thorndon,Wellington,60,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1380821336.htm,https://trademe.tmcdn.co.nz/photoserver/med/621991555.jpg
1375572595,2017/07/20,2017/07/28,4,268,ORIENTAL PARADE,Oriental Bay,Wellington,720,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1375572595.htm,https://trademe.tmcdn.co.nz/photoserver/med/619354325.jpg
1380861094,2017/07/27,2017/08/30,801,8,WIGAN STREET,Wellington Central,Wellington,470,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1380861094.htm,https://trademe.tmcdn.co.nz/photoserver/med/622015322.jpg
1381680932,2017/07/28,2017/08/13,301,9,BLAIR STREET,Te Aro,Wellington,260,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1381680932.htm,https://trademe.tmcdn.co.nz/photoserver/med/622529736.jpg
1378041081,2017/07/23,2017/08/01,,64A,RAJKOT TCE,Broadmeadows,Wellington,495,3,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1378041081.htm,https://trademe.tmcdn.co.nz/photoserver/med/621913543.jpg
1381689041,2017/07/28,2017/08/01,,84A,CRESWICK CRESCENT,Kelburn,Wellington,550,3,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1381689041.htm,https://trademe.tmcdn.co.nz/photoserver/med/622534510.jpg
1381552132,2017/07/28,2017/08/25,,87A,SALFORD STREET,Newlands,Wellington,290,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1381552132.htm,https://trademe.tmcdn.co.nz/photoserver/med/622433774.jpg
1376961300,2017/07/22,2017/07/24,2,26,DISLEY STREET,Kelburn,Wellington,400,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1376961300.htm,https://trademe.tmcdn.co.nz/photoserver/med/620026411.jpg
1381744876,2017/07/28,2017/08/01,,2,LEVY STREET,Mount Victoria,Wellington,890,3,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1381744876.htm,https://trademe.tmcdn.co.nz/photoserver/med/622582007.jpg
1379397245,2017/07/25,2017/08/15,4,19,HIROPI STREET,Newtown,Wellington,275,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1379397245.htm,https://trademe.tmcdn.co.nz/photoserver/med/621324281.jpg
